CallID,CallStarts,CallEnds,CustomerAcc,CustomerAge,CustomerPhone,OperatorID,LocationID,Sector,CallSatisfaction
1005,2022-03-02 03:40:35,2022-03-02 03:41:04,ACC0106,51,+34 27-150-315,P0018,LOC009,Other,0.7147
1006,2022-03-02 04:24:10,2022-03-02 04:29:33,ACC045,60,+100 54-89-254,P0006,LOC008,Retail,0.2352
1007,2022-03-02 12:01:05,2022-03-02 12:15:31,ACC040,55,+34 49-84-249,P0011,LOC003,Government,0.3893
1008,2022-03-02 14:36:06,2022-03-02 14:38:25,ACC0556,81,+36 37-600-765,P0010,LOC002,Retail,0.9924
1009,2022-03-03 12:41:27,2022-03-03 13:06:22,ACC079,24,+100 88-123-288,P0014,LOC009,Other,0.8765
1010,2022-03-03 22:18:27,2022-03-03 22:20:29,ACC0472,67,+56 41-516-681,P0005,LOC007,Retail,0.2745
1011,2022-03-04 01:35:19,2022-03-04 01:43:10,ACC0413,78,+36 70-457-622,P0003,LOC003,Services,0.5115
1012,2022-03-04 08:41:57,2022-03-04 08:47:15,ACC0226,31,+36 59-270-435,P0014,LOC007,Other,0.6457
1013,2022-03-05 10:46:25,2022-03-05 10:52:45,ACC0578,33,+36 59-622-787,P0017,LOC001,Healthcare,0.0436
1014,2022-03-05 12:50:12,2022-03-05 13:04:44,ACC0153,28,+56 74-197-362,P0009,LOC003,Cross-Industry,0.5453
1015,2022-03-05 20:09:35,2022-03-05 20:26:42,ACC0316,51,+26 61-360-525,P0009,LOC001,Other,0.4717
1016,2022-03-06 00:35:52,2022-03-06 00:40:18,ACC06,21,+36 15-50-215,P0018,LOC009,Cross-Industry,0.6093
1017,2022-03-06 02:24:00,2022-03-06 02:43:41,ACC0568,23,+34 49-612-777,P0018,LOC002,Other,0.7069
1018,2022-03-06 19:59:42,2022-03-06 20:05:49,ACC0413,78,+36 70-457-622,P0018,LOC004,Services,0.5912
1019,2022-03-07 23:26:54,2022-03-07 23:45:40,ACC0397,62,+100 54-441-606,P0004,LOC008,Government,0.8333
1020,2022-03-08 06:50:55,2022-03-08 06:56:54,ACC0579,34,+34 60-623-788,P0014,LOC007,Government,0.6081
1021,2022-03-08 08:10:01,2022-03-08 08:14:35,ACC0231,36,+100 64-275-440,P0016,LOC008,Services,0.6191
1022,2022-03-08 16:01:06,2022-03-08 16:21:40,ACC0530,55,+100 11-574-739,P0006,LOC006,Government,0.1297
1023,2022-03-08 22:09:15,2022-03-08 22:16:50,ACC0502,27,+34 71-546-711,P0014,LOC007,Government,0.3932
1024,2022-03-09 10:04:38,2022-03-09 10:18:05,ACC0568,23,+34 49-612-777,P0008,LOC003,Other,0.5629
1025,2022-03-09 12:57:54,2022-03-09 13:15:14,ACC0284,19,+43 29-328-493,P0018,LOC004,Healthcare,0.4627
1026,2022-03-09 17:44:58,2022-03-09 18:06:48,ACC032,47,+56 41-76-241,P0007,LOC002,Healthcare,0.6530
1027,2022-03-10 06:30:07,2022-03-10 06:33:42,ACC0581,36,+43 62-625-790,P0003,LOC006,Services,0.3282
1028,2022-03-11 07:03:49,2022-03-11 07:07:03,ACC0342,77,+100 87-386-551,P0006,LOC009,Cross-Industry,0.5501
1029,2022-03-12 10:43:25,2022-03-12 11:09:33,ACC0466,61,+46 35-510-675,P0007,LOC007,Healthcare,0.0257
1030,2022-03-12 23:18:21,2022-03-12 23:41:24,ACC041,56,+26 50-85-250,P0002,LOC005,Cross-Industry,0.9683
1031,2022-03-13 02:40:44,2022-03-13 02:58:55,ACC0299,34,+100 44-343-508,P0010,LOC002,Government,0.5529
1032,2022-03-13 05:04:57,2022-03-13 05:15:01,ACC0460,55,+43 29-504-669,P0019,LOC001,Government,0.3905
1033,2022-03-13 12:36:12,2022-03-13 12:48:55,ACC0354,19,+100 11-398-563,P0002,LOC005,Healthcare,0.5796
1034,2022-03-13 17:50:54,2022-03-13 18:10:43,ACC0271,76,+34 16-315-480,P0003,LOC005,Government,0.0873
1035,2022-03-13 23:47:06,2022-03-14 00:09:27,ACC0161,36,+34 82-205-370,P0003,LOC003,Services,0.3489
1036,2022-03-14 15:24:22,2022-03-14 15:31:02,ACC0315,50,+34 60-359-524,P0013,LOC006,Services,0.9237
1037,2022-03-14 20:36:57,2022-03-14 20:47:36,ACC0534,59,+36 15-578-743,P0009,LOC004,Other,0.3255
1038,2022-03-15 06:32:01,2022-03-15 06:45:17,ACC0427,22,+43 84-471-636,P0016,LOC008,Services,0.2628
1039,2022-03-15 16:38:00,2022-03-15 17:01:42,ACC083,28,+36 92-127-292,P0009,LOC020,Cross-Industry,0.2057
1040,2022-03-15 23:28:53,2022-03-15 23:44:09,ACC091,36,+44 12-135-300,P0013,LOC008,Services,0.1669
1041,2022-03-16 20:28:03,2022-03-16 20:35:14,ACC0222,27,+100 55-266-431,P0017,LOC002,Government,0.8392
1042,2022-03-17 05:30:16,2022-03-17 05:47:17,ACC0561,16,+100 42-605-770,P0011,LOC006,Other,0.6142
1043,2022-03-17 09:05:27,2022-03-17 09:06:49,ACC0132,77,+100 53-176-341,P0017,LOC001,Cross-Industry,0.2332
1044,2022-03-17 18:02:10,2022-03-17 18:11:32,ACC0400,65,+46 57-444-609,P0008,LOC003,Other,0.1486
1045,2022-03-17 21:37:35,2022-03-17 21:58:10,ACC0589,44,+36 70-633-798,P0010,LOC005,Other,0.8469
1046,2022-03-18 00:26:57,2022-03-18 00:40:47,ACC0487,82,+44 56-531-696,P0008,LOC001,Healthcare,0.8846
1047,2022-03-18 11:33:58,2022-03-18 11:38:36,ACC0221,26,+100 54-265-430,P0010,LOC004,Healthcare,0.9227
1048,2022-03-18 19:20:10,2022-03-18 19:38:36,ACC0231,36,+100 64-275-440,P0011,LOC006,Services,0.6845
1049,2022-03-19 17:41:57,2022-03-19 17:43:39,ACC095,40,+34 16-139-304,P0004,LOC004,Healthcare,0.0298
